"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"additional charge for sashimi(-)","","38","£ 169.93","£ 4.27","£ 169.93","£ 0.00","£ 169.93","0 %"
"75. Rib Eye(Standard)","BBQ (Korean) 75 - 84","372","£ 5199.78","£ 101.63","£ 5459.77","£ 0.00","£ 5459.77","0 %"
"76. La Gar Bi(default)","BBQ (Korean) 75 - 84","8","£ 93.72","£ 5.19","£ 98.41","£ 0.00","£ 98.41","0 %"
"77. Bulgogi(Standard)","BBQ (Korean) 75 - 84","462","£ 4743.14","£ 78.60","£ 4980.30","£ 0.00","£ 4980.30","0 %"
"78. Pork Bulgogi(default)","BBQ (Korean) 75 - 84","212","£ 1971.90","£ 38.91","£ 2070.49","£ 0.00","£ 2070.49","0 %"
"79. Chicken Bulgogi(default)","BBQ (Korean) 75 - 84","152","£ 1413.38","£ 28.35","£ 1484.05","£ 0.00","£ 1484.05","0 %"
"80. Pork Belly(Standard)","BBQ (Korean) 75 - 84","265","£ 2441.97","£ 75.33","£ 2564.07","£ 0.00","£ 2564.07","0 %"
"81. King Prawns (5pc)(Standard)","BBQ (Korean) 75 - 84","102","£ 1329.83","£ 26.58","£ 1396.32","£ 0.00","£ 1396.32","0 %"
"82. Ox Tongue(Standard)","BBQ (Korean) 75 - 84","50","£ 420.23","£ 6.26","£ 441.24","£ 0.00","£ 441.24","0 %"
"83. Chargrilled Squid(Standard)","BBQ (Korean) 75 - 84","88","£ 1059.43","£ 27.20","£ 1112.40","£ 0.00","£ 1112.40","0 %"
"84. Lettuce, Garlic & Chilli(Standard)","BBQ (Korean) 75 - 84","276","£ 777.76","£ 11.35","£ 816.65","£ 0.00","£ 816.65","0 %"
"Becks Blue(Standard)","Bottled Beer & Cider","54","£ 144.00","£ 0.00","£ 151.20","£ 0.00","£ 151.20","0 %"
"Corona(Standard)","Bottled Beer & Cider","147","£ 528.02","£ 4.18","£ 554.42","£ 0.00","£ 554.42","0 %"
"Kirin Ichi Ban(Standard)","Bottled Beer & Cider","96","£ 407.57","£ 4.05","£ 427.95","£ 0.00","£ 427.95","0 %"
"Koppaberg(Standard)","Bottled Beer & Cider","245","£ 880.99","£ 5.96","£ 925.04","£ 0.00","£ 925.04","0 %"
"Tiger(Standard)","Bottled Beer & Cider","302","£ 1288.84","£ 5.72","£ 1353.28","£ 0.00","£ 1353.28","0 %"
"Tsing Tao(Standard)","Bottled Beer & Cider","108","£ 460.71","£ 2.25","£ 483.75","£ 0.00","£ 483.75","0 %"
"25. Chicken Teriyaki(Standard)","Buns 25-26","804","£ 5211.82","£ 155.59","£ 5472.41","£ 0.00","£ 5472.41","0 %"
"26. Beef Teriyaki(Standard)","Buns 25-26","693","£ 4825.96","£ 130.24","£ 5067.26","£ 0.00","£ 5067.26","0 %"
"01 Sette Bello Prosecco(20CL)","Champagne","43","£ 202.07","£ 2.83","£ 212.17","£ 0.00","£ 212.17","0 %"
"01 Sette Bello Prosecco(Bottle)","Champagne","73","£ 1524.22","£ 5.57","£ 1600.43","£ 0.00","£ 1600.43","0 %"
"02 Da Luca Rosato Spumante(Standard)","Champagne","23","£ 409.86","£ 6.65","£ 430.35","£ 0.00","£ 430.35","0 %"
"03 Da Luca Prosecco(Standard)","Champagne","90","£ 639.29","£ 3.75","£ 671.25","£ 0.00","£ 671.25","0 %"
"04 Taittinger Brut Reserve NV(Standard)","Champagne","3","£ 157.14","£ 0.00","£ 165.00","£ 0.00","£ 165.00","0 %"
"05 Taittinger Prestige Brut Rose(Standard)","Champagne","2","£ 95.24","£ 0.00","£ 100.00","£ 0.00","£ 100.00","0 %"
"Asia Daisy(Standard)","Cocktails","363","£ 2344.45","£ 79.33","£ 2461.67","£ 0.00","£ 2461.67","0 %"
