"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"cocumber kimchi(-)","","196","£ 1629.97","£ 5.71","£ 1629.97","£ 0.00","£ 1629.97","0 %"
"52.Rib Eye(Standard)","Grill bbq 52-60","81","£ 1213.32","£ 13.91","£ 1273.99","£ 0.00","£ 1273.99","0 %"
"53.Dwaeji galbi ribs(default)","Grill bbq 52-60","41","£ 500.03","£ 3.87","£ 525.03","£ 0.00","£ 525.03","0 %"
"54.beef Bulgogi(Standard)","Grill bbq 52-60","105","£ 1274.86","£ 15.90","£ 1338.60","£ 0.00","£ 1338.60","0 %"
"55.Pork Bulgogi(default)","Grill bbq 52-60","52","£ 582.53","£ 7.14","£ 611.66","£ 0.00","£ 611.66","0 %"
"56.Chicken Bulgogi(default)","Grill bbq 52-60","28","£ 317.33","£ 0.00","£ 333.20","£ 0.00","£ 333.20","0 %"
"57.Chargrilled Squid(Standard)","Grill bbq 52-60","23","£ 281.65","£ 0.97","£ 295.73","£ 0.00","£ 295.73","0 %"
"58.Lettuce, Garlic & Chilli(Standard)","Grill bbq 52-60","55","£ 182.33","£ 1.05","£ 191.45","£ 0.00","£ 191.45","0 %"
"Becks Blue(Standard)","Bottled Beer & Cider","43","£ 155.62","£ 0.00","£ 163.40","£ 0.00","£ 163.40","0 %"
"Corona(Standard)","Bottled Beer & Cider","7","£ 25.33","£ 0.00","£ 26.60","£ 0.00","£ 26.60","0 %"
"Kirin Ichi Ban(Standard)","Bottled Beer & Cider","13","£ 55.71","£ 0.00","£ 58.50","£ 0.00","£ 58.50","0 %"
"Koppaberg(Standard)","Bottled Beer & Cider","68","£ 269.60","£ 2.52","£ 283.08","£ 0.00","£ 283.08","0 %"
"Tiger(Standard)","Bottled Beer & Cider","25","£ 107.14","£ 0.00","£ 112.50","£ 0.00","£ 112.50","0 %"
"Tsing Tao(Standard)","Bottled Beer & Cider","24","£ 102.86","£ 0.00","£ 108.00","£ 0.00","£ 108.00","0 %"
"35.Chicken Teriyaki bun(Standard)","Buns 33-38","70","£ 565.06","£ 1.69","£ 593.31","£ 0.00","£ 593.31","0 %"
"36. Beef Teriyaki bun(Standard)","Buns 33-38","77","£ 645.61","£ 7.41","£ 677.89","£ 0.00","£ 677.89","0 %"
"1. Prosecco Lunetta(20CL)","Champagne","15","£ 107.14","£ 0.00","£ 112.50","£ 0.00","£ 112.50","0 %"
"1. Prosecco Lunetta(Bottle)","Champagne","8","£ 167.62","£ 0.00","£ 176.00","£ 0.00","£ 176.00","0 %"
"2. Lunetta Vino Spumante Rose Brut(20cl)","Champagne","4","£ 28.57","£ 0.00","£ 30.00","£ 0.00","£ 30.00","0 %"
"3. Taittinger Brut Reserve NV(Standard)","Champagne","1","£ 52.38","£ 0.00","£ 55.00","£ 0.00","£ 55.00","0 %"
"Asia Daisy(Standard)","Asian Cocktails","55","£ 416.35","£ 2.83","£ 437.17","£ 0.00","£ 437.17","0 %"
"Japanese Slipper(Standard)","Asian Cocktails","29","£ 220.95","£ 0.00","£ 232.00","£ 0.00","£ 232.00","0 %"
"Korean Yoghurt Soju(Standard)","Asian Cocktails","21","£ 160.00","£ 0.00","£ 168.00","£ 0.00","£ 168.00","0 %"
"Mojito(Standard)","Asian Cocktails","6","£ 45.71","£ 0.00","£ 48.00","£ 0.00","£ 48.00","0 %"
"Plum Sour(Standard)","Asian Cocktails","25","£ 190.48","£ 0.00","£ 200.00","£ 0.00","£ 200.00","0 %"
