"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"takeaway box(-)","","7","£ 6.50","£ 5.00","£ 6.50","£ 0.00","£ 6.50","0 %"
"76. Dwaeji galbi ribs(default)","BBQ (Korean) 75 - 84","1","£ 11.33","£ 0.00","£ 11.90","£ 0.00","£ 11.90","0 %"
"77. beef Bulgogi(Standard)","BBQ (Korean) 75 - 84","1","£ 11.33","£ 0.00","£ 11.90","£ 0.00","£ 11.90","0 %"
"78. Pork Bulgogi(default)","BBQ (Korean) 75 - 84","2","£ 20.76","£ 0.00","£ 21.80","£ 0.00","£ 21.80","0 %"
"80. Pork Belly(Standard)","BBQ (Korean) 75 - 84","2","£ 22.67","£ 0.00","£ 23.80","£ 0.00","£ 23.80","0 %"
"82. Ox Tongue(Standard)","BBQ (Korean) 75 - 84","1","£ 12.29","£ 0.00","£ 12.90","£ 0.00","£ 12.90","0 %"
"Becks Blue(Standard)","Bottled Beer & Cider","1","£ 3.62","£ 0.00","£ 3.80","£ 0.00","£ 3.80","0 %"
"Koppaberg(Standard)","Bottled Beer & Cider","3","£ 12.00","£ 0.00","£ 12.60","£ 0.00","£ 12.60","0 %"
"25. Chicken Teriyaki(Standard)","Buns 24-28","3","£ 21.43","£ 0.00","£ 22.50","£ 0.00","£ 22.50","0 %"
"26. Beef Teriyaki(Standard)","Buns 24-28","4","£ 30.10","£ 0.00","£ 31.60","£ 0.00","£ 31.60","0 %"
"02 Da Luca Rosato Spumante(Standard)","Champagne","1","£ 18.10","£ 0.00","£ 19.00","£ 0.00","£ 19.00","0 %"
"Asia Daisy(Standard)","Cocktails","7","£ 46.67","£ 0.00","£ 49.00","£ 0.00","£ 49.00","0 %"
"Japanese Slipper(Standard)","Cocktails","3","£ 20.00","£ 0.00","£ 21.00","£ 0.00","£ 21.00","0 %"
"RESTAURANT Plum Sour(Standard)","Cocktails","2","£ 13.33","£ 0.00","£ 14.00","£ 0.00","£ 14.00","0 %"
"29. Chicken Katsu Curry(Standard)","Donburi 29-39","4","£ 45.33","£ 0.00","£ 47.60","£ 0.00","£ 47.60","0 %"
"32. Beef Curry(Standard)","Donburi 29-39","1","£ 12.29","£ 0.00","£ 12.90","£ 0.00","£ 12.90","0 %"
"33. Chicken Teriyaki(Standard)","Donburi 29-39","2","£ 22.67","£ 0.00","£ 23.80","£ 0.00","£ 23.80","0 %"
"36. Salmon Sashimi & Tobiko(Standard)","Donburi 29-39","1","£ 13.24","£ 0.00","£ 13.90","£ 0.00","£ 13.90","0 %"
"Asahi(Pint)","Draught Beer","9","£ 44.57","£ 0.00","£ 46.80","£ 0.00","£ 46.80","0 %"
"Camden Pale Ale(Pint)","Draught Beer","1","£ 4.67","£ 0.00","£ 4.90","£ 0.00","£ 4.90","0 %"
"Cornish Orchard Cider(Pint)","Draught Beer","1","£ 4.00","£ 0.00","£ 4.20","£ 0.00","£ 4.20","0 %"
"Peroni(Half)","Draught Beer","3","£ 8.00","£ 0.00","£ 8.40","£ 0.00","£ 8.40","0 %"
"Peroni(Pint)","Draught Beer","2","£ 9.90","£ 0.00","£ 10.40","£ 0.00","£ 10.40","0 %"
"Stella(Half)","Draught Beer","1","£ 2.38","£ 0.00","£ 2.50","£ 0.00","£ 2.50","0 %"
"Stella(Pint)","Draught Beer","4","£ 16.00","£ 0.00","£ 16.80","£ 0.00","£ 16.80","0 %"
"63. Kimchi Ramen(Standard)","Korean Nood 62-65","1","£ 8.48","£ 0.00","£ 8.90","£ 0.00","£ 8.90","0 %"
"49. Kimchi Set(Standard)","Korean Sides 49-52","1","£ 7.14","£ 0.00","£ 7.50","£ 0.00","£ 7.50","0 %"
"50. Kimchi(Standard)","Korean Sides 49-52","2","£ 7.43","£ 0.00","£ 7.80","£ 0.00","£ 7.80","0 %"
"Aloe Vera(Standard)","Korean Soft Drinks","5","£ 12.86","£ 0.00","£ 13.50","£ 0.00","£ 13.50","0 %"
"53. Seafood Pancake(Standard)","Korean Starter 53-61","1","£ 9.43","£ 0.00","£ 9.90","£ 0.00","£ 9.90","0 %"
"54. Kimchi Pancake(Standard)","Korean Starter 53-61","1","£ 8.48","£ 0.00","£ 8.90","£ 0.00","£ 8.90","0 %"
"55. bossam pork belly(Standard)","Korean Starter 53-61","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"57. Topokki(Standard)","Korean Starter 53-61","3","£ 27.34","£ 0.99","£ 28.71","£ 0.00","£ 28.71","0 %"
"59. Mandu (5pc)(Standard)","Korean Starter 53-61","5","£ 37.62","£ 0.00","£ 39.50","£ 0.00","£ 39.50","0 %"
"61. Fried Chicken Wings (4pc)(Standard)","Korean Starter 53-61","4","£ 30.10","£ 0.00","£ 31.60","£ 0.00","£ 31.60","0 %"
"47. Yaki Soba(Vegatable)","Noodles 47-48","1","£ 9.43","£ 0.00","£ 9.90","£ 0.00","£ 9.90","0 %"
"47. Yaki Soba(Chicken)","Noodles 47-48","3","£ 31.14","£ 0.00","£ 32.70","£ 0.00","£ 32.70","0 %"
"47. Yaki Soba(Seafood)","Noodles 47-48","1","£ 7.10","£ 7.45","£ 7.45","£ 0.00","£ 7.45","0 %"
"47. Yaki Soba(Beef)","Noodles 47-48","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"47. Yaki Udon(Chicken)","Noodles 47-48","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"48. Soup Ramen(Pork Belly)","Noodles 47-48","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"48. Soup Ramen(Chicken)","Noodles 47-48","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"45. Grill meat Platter(Standard)","Platters 45-46","2","£ 68.38","£ 0.00","£ 71.80","£ 0.00","£ 71.80","0 %"
"70. Dolsot Bimbimbap(Beef)","Rice Dishes 70-74","5","£ 51.90","£ 0.00","£ 54.50","£ 0.00","£ 54.50","0 %"
"70. Dolsot Bimbimbap(Chicken)","Rice Dishes 70-74","1","£ 9.43","£ 0.00","£ 9.90","£ 0.00","£ 9.90","0 %"
"70. Dolsot Bimbimbap(Pork)","Rice Dishes 70-74","2","£ 18.86","£ 0.00","£ 19.80","£ 0.00","£ 19.80","0 %"
"71. Kimchi Fried Rice(Chicken)","Rice Dishes 70-74","2","£ 16.10","£ 0.89","£ 16.91","£ 0.00","£ 16.91","0 %"
"72. Bok Gum Bap(Chicken)","Rice Dishes 70-74","3","£ 25.43","£ 0.00","£ 26.70","£ 0.00","£ 26.70","0 %"
