name,type,category
asia daisy,drink,asian cocktails
restaurant plum sour,drink,asian cocktails
mojito,drink,asian cocktails
korean yoghurt soju,drink,asian cocktails
japanese slipper,drink,asian cocktails
for cherry’s “sake”,drink,asian cocktails
lucky buddha,drink,bottled beer & cider
tsing tao,drink,bottled beer & cider
tiger,drink,bottled beer & cider
corona,drink,bottled beer & cider
koppaberg,drink,bottled beer & cider
becks blue,drink,bottled beer & cider
kirin ichi ban,drink,bottled beer & cider
da luca prosecco,drink,champagne
sette bello prosecco,drink,champagne
prosecco lunetta,drink,champagne
taittinger brut reserve nv,drink,champagne
da luca rosato spumante,drink,champagne
taittinger prestige brut rose,drink,champagne
lunetta vino spumante rose brut,drink,champagne
cocktail,drink,cocktails
cocktaill,drink,cocktails
espresso martini,drink,cocktails
matcha mojito,drink,cocktails
long island iced tea,drink,cocktails
whisky smash,drink,cocktails
margarita,drink,cocktails
bellini,drink,cocktails
summer rosé spritz,drink,cocktails
passoã collins,drink,cocktails
cosmopolitan,drink,cocktails
asahi,drink,draught beer
peroni,drink,draught beer
stella,drink,draught beer
camden pale ale,drink,draught beer
singha lager,drink,draught beer
cornish orchard cider,drink,draught beer
half singha,drink,draught beer
aloe vera,drink,korean soft drinks
hai tai bong bong grape juice,drink,korean soft drinks
calpis,drink,korean soft drinks
jinro cham yi sul,drink,korean soju
soju,drink,korean soju
mocktail,drink,mocktails
sunrise,drink,mocktails
magical lagoon,drink,mocktails
shirley temple,drink,mocktails
monte verde merlot,drink,red wine
berri estates shiraz,drink,red wine
rare vineyards pinot noir,drink,red wine
alma mora malbec,drink,red wine
merlot valle central brisa,drink,red wine
pinot noir pays d’oc igp le fou,drink,red wine
malbec la nina mendoza don cristobal,drink,red wine
shiraz woolloomooloo,drink,red wine
belvino pinot grigio rosato,drink,rose wine
whispering hills,drink,rose wine
pinot grigio blush delle venezie igt san vigil,drink,rose wine
white zinfandel burlesque,drink,rose wine
tap water,drink,soft drinks
coke,drink,soft drinks
diet coke,drink,soft drinks
lemonade,drink,soft drinks
fever tree tonic,drink,soft drinks
fanta,drink,soft drinks
j2o,drink,soft drinks
dash cordial,drink,soft drinks
coke zero,drink,soft drinks
still / sparkling water,drink,soft drinks
fever tree slimline tonic,drink,soft drinks
soda water,drink,soft drinks
aloe vera,drink,soft drinks
apple juice,drink,soft drinks
orange juice,drink,soft drinks
tonic,drink,soft drinks
hai tai bong bong grape juice,drink,soft drinks
juice,drink,soft drinks
pineapple juice,drink,soft drinks
sprite,drink,soft drinks
ginger ale,drink,soft drinks
slimline tonic,drink,soft drinks
fever tree pink tonic,drink,soft drinks
tequila,drink,spirits
navy rum,drink,spirits
baby guinness,drink,spirits
gordans,drink,spirits
sambuca,drink,spirits
gordans pink gin,drink,spirits
smirnoff,drink,spirits
baileys,drink,spirits
whiskey,drink,spirits
rum,drink,spirits
bombay,drink,spirits
melon liqueur,drink,spirits
lychee liqueur,drink,spirits
jack daniels,drink,spirits
amaretto,drink,spirits
passion killer,drink,spirits
martell,drink,spirits
brandy,drink,spirits
hendricks,drink,spirits
passoa,drink,spirits
green tea,drink,tea / coffee
americano,drink,tea / coffee
latte,drink,tea / coffee
tea,drink,tea / coffee
espresso,drink,tea / coffee
cappuccino,drink,tea / coffee
fruit tea,drink,tea / coffee
liquer coffee,drink,tea / coffee
small sake,drink,white wine
monte verde sauvignon blanc,drink,white wine
pinot grigio san vigilio provincia di pavia igt,drink,white wine
parini pinot grigio,drink,white wine
sauvignon blanc brisa,drink,white wine
sake,drink,white wine
gewurztraminer a.a.c. cave de beblenheim,drink,white wine
short mile bay chardonnay,drink,white wine
vine trail gewurztraminer,drink,white wine
cullinan view chenin blanc,drink,white wine
chenin blanc slow false bay coastal region,drink,white wine
pulpo sauvignon blanc,drink,white wine
chardonnay woolloomooloo,drink,white wine
rib eye,food,bbq
beef bulgogi,food,bbq
bulgogi,food,bbq
pork bulgogi,food,bbq
pork belly,food,bbq
"lettuce, garlic & chilli",food,bbq
chicken bulgogi,food,bbq
dwaeji galbi ribs,food,bbq
chargrilled squid,food,bbq
king prawns,food,bbq
ox tongue,food,bbq
grill meat platter,food,bbq platter
seafood platter,food,bbq platter
grill meat platter,food,bbq platters
japanese grill platter,food,bbq platters
seafood platter,food,bbq platters
crispy duck bun,food,buns
chicken teriyaki,food,buns
chicken katsu bun,food,buns
beef teriyaki,food,buns
restaurant buns platter,food,buns
beef teriyaki bun,food,buns
chicken teriyaki bun,food,buns
tofu katsu bun,food,buns
dorayaki,food,dessert
mochi,food,dessert
ice cream,food,dessert
fudge cake,food,dessert
cheesecake,food,dessert
dessert,food,dessert
hot pot,food,hotpot
hotpot add-on,food,hotpot
yaki soba,food,japanese noodles
soup ramen,food,japanese noodles
yaki udon,food,japanese noodles
soup udon,food,japanese noodles
chicken katsu curry,food,japanese rice dishes
chicken teriyaki,food,japanese rice dishes
salmon teriaki rice,food,japanese rice dishes
beef teriyaki,food,japanese rice dishes
beef teriyaki rice,food,japanese rice dishes
salmon teriaki,food,japanese rice dishes
beef curry,food,japanese rice dishes
dolsot bimbimbap,food,japanese rice dishes
kimchi fried rice,food,japanese rice dishes
prawn katsu curry,food,japanese rice dishes
chili prawn firecracker rice,food,japanese rice dishes
grilled unagi,food,japanese rice dishes
squid thop bap,food,japanese rice dishes
tonkatsu curry,food,japanese rice dishes
katsudon pork,food,japanese rice dishes
gimbap,food,japanese rice dishes
salmon sashimi & tobiko,food,japanese rice dishes
salmon & tobiko eggfried rice,food,japanese rice dishes
bok gum bap,food,japanese rice dishes
grilled unagi rice,food,japanese rice dishes
fish karaage,food,japanese rice dishes
prawn tempura,food,japanese starters
chicken harumaki,food,japanese starters
chicken karaagi,food,japanese starters
spicy squid,food,japanese starters
vegetable tempura,food,japanese starters
duck harumaki,food,japanese starters
takoyaki,food,japanese starters
wasabi prawns,food,japanese starters
soft shell crab tempura,food,japanese starters
agedashi tofu,food,japanese starters
pan fried scallops,food,japanese starters
tebaski chicken wings,food,japanese starters
chicken katsu,food,japanese starters
salmon tartar,food,japanese starters
tuna tartar,food,japanese starters
grilled unagi eel,food,japanese starters
seafood okonomiyaki,food,japanese starters
grilled unagi eel side,food,japanese starters
spicy lamb noodle,food,korean noodles
ja jang myun,food,korean noodles
kimchi ramen,food,korean noodles
spicy mixed seafood noodles han,food,korean noodles
dolsot bimbimbap,food,korean rice dishes
