name,category,sold,sales_inc_tax,discount,sales_exc_tax,cost_inc_tax,gross_profit,markup,year
box(-),custom,1550,5889.1,24.26,5889.1,0.0,5889.1,0.0,2023
75. rib eye(standard),bbq (korean) 75 - 84,598,8491.85,55.76,8916.44,0.0,8916.44,0.0,2023
65d. egg(standard),extras,2,0.95,0.0,1.0,0.0,1.0,0.0,2023
76. dwaeji galbi ribs(default),bbq (korean) 75 - 84,220,2499.38,10.65,2624.35,0.0,2624.35,0.0,2023
77. beef bulgogi(standard),bbq (korean) 75 - 84,867,9773.04,121.61,10261.69,0.0,10261.69,0.0,2023
78. pork bulgogi(default),bbq (korean) 75 - 84,357,3725.58,22.44,3911.86,0.0,3911.86,0.0,2023
79. chicken bulgogi(default),bbq (korean) 75 - 84,295,3049.81,25.2,3202.3,0.0,3202.3,0.0,2023
80. pork belly(standard),bbq (korean) 75 - 84,495,5556.13,56.56,5833.94,0.0,5833.94,0.0,2023
81. king prawns (5pc)(standard),bbq (korean) 75 - 84,142,2012.93,2.22,2113.58,0.0,2113.58,0.0,2023
82. ox tongue(standard),bbq (korean) 75 - 84,85,1032.38,12.5,1084.0,0.0,1084.0,0.0,2023
83. chargrilled squid(standard),bbq (korean) 75 - 84,120,1466.16,8.53,1539.47,0.0,1539.47,0.0,2023
"84. lettuce, garlic & chilli(standard)",bbq (korean) 75 - 84,243,805.33,4.9,845.6,0.0,845.6,0.0,2023
becks blue(standard),bottled beer & cider,171,618.86,0.0,649.8,0.0,649.8,0.0,2023
corona(standard),bottled beer & cider,134,484.95,0.0,509.2,0.0,509.2,0.0,2023
kirin ichi ban(standard),bottled beer & cider,146,625.71,0.0,657.0,0.0,657.0,0.0,2023
koppaberg(standard),bottled beer & cider,432,1727.6,0.42,1813.98,0.0,1813.98,0.0,2023
tiger(standard),bottled beer & cider,249,1067.14,0.0,1120.5,0.0,1120.5,0.0,2023
tsing tao(standard),bottled beer & cider,214,916.71,0.45,962.55,0.0,962.55,0.0,2023
25. chicken teriyaki(standard),buns 24-28,568,4086.75,33.91,4291.09,0.0,4291.09,0.0,2023
26. beef teriyaki(standard),buns 24-28,449,3392.64,35.83,3562.27,0.0,3562.27,0.0,2023
01 sette bello prosecco(20cl),champagne,49,257.14,0.0,270.0,0.0,270.0,0.0,2023
01 sette bello prosecco(bottle),champagne,66,1380.73,2.23,1449.77,0.0,1449.77,0.0,2023
02 da luca rosato spumante(standard),champagne,28,484.76,0.0,509.0,0.0,509.0,0.0,2023
03 da luca prosecco(standard),champagne,137,978.57,0.0,1027.5,0.0,1027.5,0.0,2023
04 taittinger brut reserve nv(standard),champagne,4,209.52,0.0,220.0,0.0,220.0,0.0,2023
asia daisy(standard),cocktails,469,3143.14,21.7,3300.3,0.0,3300.3,0.0,2023
japanese slipper(standard),cocktails,121,816.38,0.8,857.2,0.0,857.2,0.0,2023
korean yoghurt soju(standard),cocktails,120,811.19,3.25,851.75,0.0,851.75,0.0,2023
matcha mojito(standard),cocktails,108,724.1,0.7,760.3,0.0,760.3,0.0,2023
plum sour(standard),cocktails,115,777.14,0.0,816.0,0.0,816.0,0.0,2023
cheesecake(standard),dessert,98,466.67,0.0,490.0,0.0,490.0,0.0,2023
dessert(standard),dessert,1,4.76,0.0,5.0,0.0,5.0,0.0,2023
ice cream(default),dessert,131,371.83,2.58,390.42,0.0,390.42,0.0,2023
